backend,op,interp,src_w,src_h,dst_w,dst_h,rot,stress,iters,min_us,mean_us,stddev_us,p50_us,p95_us,p99_us,max_us
halide,nv21_resize_rgb,linear,1920,1080,640,480,90,0,200,700,874.18,139.53,827,1116,1414,1637
halide,nv21_resize_rgb,linear,1920,1080,640,480,90,2,200,715,840.54,100.98,794,1075,1101,1143
halide,nv21_resize_rgb,linear,1920,1080,640,480,90,4,200,1039,1103.46,74.43,1090,1220,1443,1506
halide,nv21_resize_rgb,linear,1920,1080,1280,720,90,0,200,1850,2034.98,205.66,2050,2333,2896,3183
halide,nv21_resize_rgb,linear,1920,1080,1280,720,90,2,200,2125,2200.24,72.50,2185,2289,2481,2853
halide,nv21_resize_rgb,linear,1920,1080,1280,720,90,4,200,2753,3040.62,275.18,2885,3531,3779,4305
halide,nv21_resize_rgb,linear,1280,720,640,480,90,0,200,768,1155.33,191.52,1122,1483,1947,2143
halide,nv21_resize_rgb,linear,1280,720,640,480,90,2,200,756,990.25,175.78,1040,1308,1470,1675
halide,nv21_resize_rgb,linear,1280,720,640,480,90,4,200,1031,1087.43,57.07,1081,1163,1333,1442
halide,nv21_resize_rgb,linear,640,480,1280,720,90,0,200,1850,2105.87,119.41,2120,2290,2353,2391
halide,nv21_resize_rgb,linear,640,480,1280,720,90,2,200,2098,2196.96,119.24,2165,2416,2761,2846
halide,nv21_resize_rgb,linear,640,480,1280,720,90,4,200,2738,2835.68,77.69,2820,2945,3084,3530
halide,nv21_resize_rgb,area,1920,1080,640,480,90,0,200,28672,32565.74,2213.49,32234,36607,37526,38087
halide,nv21_resize_rgb,area,1920,1080,640,480,90,2,200,28361,37735.18,4646.13,38397,43557,46492,49907
halide,nv21_resize_rgb,area,1920,1080,640,480,90,4,200,37202,43302.19,1885.82,42882,46652,50501,52753
halide,nv21_resize_rgb,area,1920,1080,1280,720,90,0,200,58919,70452.44,5837.53,70851,80511,83038,86239
halide,nv21_resize_rgb,area,1920,1080,1280,720,90,2,200,75770,84152.37,4595.68,83334,92670,94707,97883
halide,nv21_resize_rgb,area,1920,1080,1280,720,90,4,200,88461,101228.53,3744.14,100402,107790,109605,117989
halide,nv21_resize_rgb,area,1280,720,640,480,90,0,200,23827,28057.63,2332.55,27655,32147,34812,38836
halide,nv21_resize_rgb,area,1280,720,640,480,90,2,200,25340,33840.83,4042.82,34930,38954,40241,40979
halide,nv21_resize_rgb,area,1280,720,640,480,90,4,200,33267,38053.09,2086.47,37432,42264,46679,47997
opencv_neon,nv21_resize_rgb,nearest,1920,1080,640,480,90,0,200,387,979.43,455.30,908,1846,2167,2507
opencv_neon,nv21_resize_rgb,nearest,1920,1080,640,480,90,2,200,606,910.53,241.66,853,1389,1717,2084
opencv_neon,nv21_resize_rgb,nearest,1920,1080,640,480,90,4,200,593,748.12,172.32,694,1071,1544,1663
opencv_neon,nv21_resize_rgb,nearest,1920,1080,1280,720,90,0,200,1178,3419.95,1224.93,3218,5592,7102,9004
opencv_neon,nv21_resize_rgb,nearest,1920,1080,1280,720,90,2,200,1644,2872.95,737.35,2740,4051,5680,6412
opencv_neon,nv21_resize_rgb,nearest,1920,1080,1280,720,90,4,200,1579,1801.97,128.36,1779,2042,2212,2399
opencv_neon,nv21_resize_rgb,nearest,1280,720,640,480,90,0,200,621,1084.61,352.81,991,1760,2154,2412
opencv_neon,nv21_resize_rgb,nearest,1280,720,640,480,90,2,200,347,1050.36,371.61,967,1660,2558,2648
opencv_neon,nv21_resize_rgb,nearest,1280,720,640,480,90,4,200,588,883.35,308.37,727,1555,1759,1803
