backend,op,interp,src_w,src_h,dst_w,dst_h,rot,stress,iters,variant,min_us,mean_us,trimmed_mean_us,stddev_us,cv,p50_us,p95_us,p99_us,max_us
halide,nv21_resize_rgb,nearest,2296,3056,1408,1408,90,0,300,2,886,1334.60,1294.11,333.09,0.2496,1257,2084,2610,3283
halide,nv21_resize_rgb,nearest,2296,3056,1408,1408,90,0,300,3,816,975.90,968.61,105.27,0.1079,964,1168,1256,1516
halide,nv21_resize_rgb,nearest,3000,4000,384,384,90,0,300,0,138,286.42,272.77,123.62,0.4316,255,491,687,1188
halide,nv21_resize_rgb,nearest,3000,4000,384,384,90,0,300,1,98,210.46,198.26,102.38,0.4865,186,336,618,1134
halide,nv21_resize_rgb,nearest,3000,4000,384,384,90,0,300,2,190,276.62,266.52,83.67,0.3025,244,424,593,848
halide,nv21_resize_rgb,nearest,3000,4000,384,384,90,0,300,3,111,247.10,229.33,141.16,0.5713,219,393,1040,1401
halide,nv21_resize_rgb,nearest,3000,4000,518,518,90,0,300,0,239,433.83,414.41,158.43,0.3652,396,722,1145,1435
halide,nv21_resize_rgb,nearest,3000,4000,518,518,90,0,300,1,216,373.33,359.18,127.23,0.3408,341,601,884,1196
halide,nv21_resize_rgb,nearest,3000,4000,518,518,90,0,300,2,314,559.11,535.69,203.87,0.3646,526,924,1257,1770
halide,nv21_resize_rgb,nearest,3000,4000,518,518,90,0,300,3,237,402.85,393.08,117.79,0.2924,370,615,762,1162
halide,nv21_resize_rgb,nearest,3000,4000,640,640,90,0,300,0,305,506.16,489.65,146.61,0.2896,475,730,1180,1342
halide,nv21_resize_rgb,nearest,3000,4000,640,640,90,0,300,1,189,351.42,338.97,135.19,0.3847,325,571,745,1331
halide,nv21_resize_rgb,nearest,3000,4000,640,640,90,0,300,2,386,694.73,675.46,209.51,0.3016,662,1064,1410,1951
halide,nv21_resize_rgb,nearest,3000,4000,640,640,90,0,300,3,191,380.59,376.48,85.38,0.2243,375,529,612,701
halide,nv21_resize_rgb,nearest,3000,4000,1280,1280,90,0,300,0,762,903.67,888.10,134.20,0.1485,841,1205,1360,1409
halide,nv21_resize_rgb,nearest,3000,4000,1280,1280,90,0,300,1,682,816.17,800.07,121.58,0.1490,786,1025,1312,1639
halide,nv21_resize_rgb,nearest,3000,4000,1280,1280,90,0,300,2,778,977.14,953.68,215.83,0.2209,870,1394,1638,1761
halide,nv21_resize_rgb,nearest,3000,4000,1280,1280,90,0,300,3,712,864.48,847.39,134.28,0.1553,818,1131,1423,1565
halide,nv21_resize_rgb,nearest,3000,4000,1408,1408,90,0,300,0,840,987.72,962.67,169.64,0.1717,929,1382,1564,2030
halide,nv21_resize_rgb,nearest,3000,4000,1408,1408,90,0,300,1,841,959.71,943.11,118.00,0.1230,928,1266,1438,1530
halide,nv21_resize_rgb,nearest,3000,4000,1408,1408,90,0,300,2,843,1164.37,1131.04,333.58,0.2865,1044,1821,2099,3105
halide,nv21_resize_rgb,nearest,3000,4000,1408,1408,90,0,300,3,773,955.33,930.79,200.79,0.2102,869,1433,1607,1746
